objectid,filename,title,creator,date,subject,subjectgenre,content,contributorperformers,contributorsetdesigner,contributorcompanion,description,alt-text,location,latitude,longitude,format,language,filesize,dimensions,rights
coll004,img_0149.jpg,Beautiful: Carole King,"Kuethe, Lauren",2021-12-07,"Theatrical Productions; Musicals; Jukebox Musicals; McGrath, Douglas. Beautiful: The Carole King Musical.",Musical; Jukebox Musicals,So Far Away -- Oh Carol -- 1650 Broadway Medley -- It Might as Well Rain Until September -- Be-Bop-A-Lula -- Some Kind of Wonderful -- Happy Days Are Here Again -- Take Good Care of My Baby -- Who Put the Bomp -- Will You Love Me Tomorrow -- He's Sure the Boy I Love -- Will You Love Me Tomorrow -- Up on the Roof -- On Broadway -- The Locomotion -- You've Lost That Lovin' Feeling -- One Fine Day -- Chains -- Walking in the Rain -- Pleasant Valley Sunday -- We Gotta Get Out of This Place -- Will You Love Me Tomorrow (Reprise) -- Uptown -- It's Too Late -- You've Got a Friend -- (You Make Me Feel Like) A Natural Woman -- Beautiful -- I Feel the Earth Move,Performed by a touring ensemble cast.,Derek McLane,"Fisher, Maddy","The first musical during COVID that felt safe to attend, though Lauren was not familiar with the time period or the musician the musical was based on.","Lauren Kuethe wearing yellow clothes and mask, giving a peace sign in front of a wall","Gallagher Bluedorn, Cedar Falls, Iowa",42.510938,-92.460661,image/jpeg,eng,0.733MB,32.22 x 42.89 in,"This material should be used for educational purposes only. For other uses, please contact Lauren Kuethe."
coll016,img_0373.jpg,Marching Band - UNI vs Youngstown State 2023,"Kuethe, Lauren",2023-09-30,Marching bands; University of Northern Iowa--Football.,Band music; Fight songs,,University of Northern Iowa. Panther Marching Band,Justin Mertz,"Kuethe, Joyce","On, Family Weekend, Joyce visited the campus. Many other families also went to this game.",Joyce (left) and Lauren Kuethe (right) posing in front of a football game,"UNI-Dome - UNI Campus, Cedar Falls, Iowa",42.515936,-92.467243,image/jpeg,eng,1.9MB,32.22 x 42.89 in,"This material should be used for educational purposes only. For other uses, please contact Lauren Kuethe."
coll017,img_0590.jpg,Marching Band - UNI vs North Dakota,"Kuethe, Lauren",2023-10-21,Marching bands; University of Northern Iowa--Football.,Band music; Fight songs,,University of Northern Iowa. Panther Marching Band,Justin Mertz,"Larson, Veronica; Vick, McKenzie","On Homecoming, Lauren and her roommates went to support the football team and listen to the music.",The UNI marching band standing in a formation during the half-time show,"UNI-Dome - UNI Campus, Cedar Falls, Iowa",42.515936,-92.467243,image/jpeg,eng,3.7MB,56 x 42 in,"This material should be used for educational purposes only. For other uses, please contact Lauren Kuethe."
coll018,img_0755.jpg,Annie,"Kuethe, Lauren",2023-11-04,"Theatrical Productions; Musicals; Strouse, Charles. Annie.",Musical,"Overture -- Maybe -- It's the Hard Knock Life -- It's the Hard Knock Life (Reprise) -- Tomorrow -- We'd Like to Thank You, Herbert Hoover -- Little Girls -- Little Girls (Reprise) -- I Think I'm Gonna Like It Here -- N.Y.C. -- N.Y.C. (Reprise) / Lullaby -- You Make Me Happy -- Easy Street -- You Won't Be an Orphan for Long -- Why Should I Change a Thing? -- Maybe (Reprise) -- Maybe (Reprise II) -- You're Never Fully Dressed Without a Smile -- You're Never Fully Dressed Without a Smile (Children Reprise) -- Easy Street (Reprise) -- Tomorrow (Cabinet Reprise) -- Tomorrow (Cabinet Reprise II) -- Something Was Missing -- Annie -- I Don't Need Anything But You -- Maybe (Reprise III) -- New Deal for Christmas -- Tomorrow (Finale)",Performed by a touring ensemble cast.,Wilson Chin,"Bockenstedt, Erin; Larson, Veronica; Vick, McKenzie",This was the first musical of the year and the first experienced with the new roommate Erin.,"Lauren Kuethe (left) and Erin Bockenstedt (right) sitting in the audience, both with peace signs","Gallagher Bluedorn, Cedar Falls, Iowa",42.510938,-92.460661,image/jpeg,eng,2.5MB,42.89 x 32.22 in,"This material should be used for educational purposes only. For other uses, please contact Lauren Kuethe."
coll015,img_0922.jpg,Ben Folds,"Kuethe, Joyce",2023-08-09,"Bands (Music)--United States; Folds, Ben, 1966-.",Popular music,Exhausting Lover -- Winslow Gardens -- Clouds With Ellipses -- Losing Lisa -- Fragile -- Kristine From the 7th Grade -- The Ascent of Stan -- Still Fighting It -- Back to Anonymous -- What Matters Most -- Landed -- You Don't Know Me -- Effington -- Not the Same -- Moments -- Annie Waits -- Still -- Zak and Sara,"Ben Folds, vocals, piano; accompaniment",,"Kuethe, Joyce; Kuethe, Cole; Kuethe, Erin","Ben Folds was Lauren's first official performance, and was one the whole family agreed upon.","Lauren, Joyce, Erin, and Cole Kuethe (from left to right) in their seats before the show","Alliant Energy PowerHouse, Cedar Rapids, Iowa",41.98032,-91.667522,image/jpeg,eng,0.054MB,12.26 x 7.5 in,"This material should be used for educational purposes only. For other uses, please contact Lauren Kuethe."
coll019,img_1157.jpg,Mean Girls,"Kuethe, Lauren",2023-11-17,"Theatrical Productions; Musicals; Richmond, Jeff. Mean Girls; Networks Presentations (firm).",Musical,A Cautionary Tale -- It Roars -- It Roars (reprise) -- Where Do You Belong? -- Meet the Plastics -- Stupid with Love -- Apex Predator -- What’s Wrong with Me? -- Stupid with Love (reprise) -- Sexy -- Someone Gets Hurt -- Revenge Party -- Fearless -- Someone Gets Hurt (reprise) -- A Cautionary Tale (reprise) -- Stop -- What's Wrong with Me? (reprise) -- Whose House Is This? -- More Is Better -- Someone Gets Hurt (reprise) -- World Burn -- I'd Rather Be Me -- Fearless (reprise) -- Do This Thing -- I See Stars,Performed by a touring ensemble cast.,Scott Pask,"Bockenstedt, Erin; Larson, Veronica; Vick, McKenzie",This musical was performed soon before the theatrical adaptation and release of the movie turned musical turned movie musical.,"Lauren Kuethe, Veronica Larson, Erin Bockenstedt, and McKenzie Vick (from left to right) in their seats before the show","Gallagher Bluedorn, Cedar Falls, Iowa",42.510938,-92.460661,image/jpeg,eng,1.7MB,32.22 x 42.89 in,"This material should be used for educational purposes only. For other uses, please contact Lauren Kuethe."
coll005,img_1341.jpg,Hadestown,"Kuethe, Lauren",2022-03-26,"Theatrical Productions; Musicals; Mitchell, Anaïs. Hadestown.",Musical,"Road to Hell -- Any Way the Wind Blows -- Come Home With Me -- Wedding Song -- Epic I -- Livin' it Up on Top -- All I've Ever Known -- Way Down Hadestown -- A Gathering Storm -- Epic II -- Chant -- Hey, Little Songbird -- When the Chips Are Down -- Gone, I'm Gone -- Wait for Me -- Why We Build the Wall -- Our Lady of the Underground -- Way Down Hadestown (reprise) -- Flowers -- Come Home With Me (reprise) -- Papers -- Nothing Changes -- If It's True -- How Long? -- Chant (reprise) -- Epic III -- Promises -- Word to the Wise -- His Kiss, the Riot -- Wait for Me (reprise) -- Doubt Comes In -- Road to Hell (reprise) -- We Raise our Cups",Performed by a touring ensemble cast.,Rachel Hauck,"Patterson, Cora","Lauren was given little notice to prepare for this, as an acquaintance's companion suddenly came down with COVID and the ticket could not be refunded. Lauren was invited and driven from campus.","Lauren Kuethe wearing pink clothes and mask, holding roses","Des Moines Civic Center, Des Moines, Iowa",41.587421,-93.620565,image/jpeg,eng,0.586MB,32.22 x 42.89 in,"This material should be used for educational purposes only. For other uses, please contact Lauren Kuethe."
coll006,img_1468.jpg,Cinderella - Musical,"Kuethe, Lauren",2022-04-07,"Theatrical Productions; Musicals; Rogers, Richard. Cinderella.",Musical,"Overture -- Prologue -- Me, Who Am I? -- In My Own Little Corner -- The Prince Is Giving a Ball/Now Is the Time -- Cinderella March -- In My Own Little Corner (reprise) -- Impossible -- It's Possible -- Gavotte -- Ten Minutes Ago -- Cinderella Waltz -- Ten Minutes Ago (reprise) -- Entr'acte -- Stepsister's Lament -- The Pursuit -- He Was Tall -- When You're Driving Through the Moonlight -- A Lovely Night -- A Lovely Night (reprise) -- Loneliness of Evening -- Announcing the Banquet -- There's Music in You -- Now Is the Time (reprise) -- Do I Love You Because You're Beautiful? -- The Shoe Fits -- The Proposal -- The Wedding",Performed by a student ensemble cast.,Mark A. Parrott,"Fisher, Maddy",This was a smaller venue with students as performers.,"Lauren Kuethe wearing green and blue clothes and mask, giving a peace sign","Strayer-Wood Theatre - UNI Campus, Cedar Falls, Iowa",42.513642,-92.464141,image/jpeg,eng,0.228MB,10.42 x 18.53 in,"This material should be used for educational purposes only. For other uses, please contact Lauren Kuethe."
coll007,img_1556.jpg,Joseph and the Technicolor Dream Coat,"Kuethe, Lauren",2022-04-22,"Theatrical Productions; Musicals; Lloyd Webber, Andrew. Joseph and the Technicolor Dream Coat.",Musical,"Prologue -- Any Dream Will Do -- Jacob and Sons/Joseph's Coat -- Joseph's Dreams -- Poor, Poor Joseph -- One More Angel in Heaven -- Potiphar -- Close Every Door -- Go, Go, Go Joseph -- Pharaoh Story -- Poor, Poor Pharaoh -- Song of the King -- Pharaoh's Dreams Explained -- Stone the Crows -- Those Canaan Days -- The Brothers Come to Egypt/Grovel, Grovel -- Who's the Thief? -- Benjamin Calypso -- Joseph All the Time -- Jacob in Egypt -- Any Dream Will Do (Reprise)/Give Me My Coloured Coat -- Joseph Megamix",Waterloo-Cedar Falls Symphony; Waterloo and Cedar Falls Community Theatre,,"Fisher, Maddy","Lauren's last musical year in high-school was Joseph and the Technicolor Dream Coat, though it was canceled before it could be performed. This performance allowed her to live vicariously through others.",Lauren Kuethe wearing a mask and giving a peace sign,"Gallagher Bluedorn, Cedar Falls, Iowa",42.510938,-92.460661,image/jpeg,eng,0.236MB,10.42 x 18.53 in,"This material should be used for educational purposes only. For other uses, please contact Lauren Kuethe."
coll021,img_1789.jpg,AJR,"Vick, McKenzie",2024-04-16,Bands (Music)--United States; AJR (Musical group).,Indie pop music; Electronic pop (music),Swimming Pools (Drank) -- Maybe Man -- Sober Up -- Yes I'm a Mess -- I Won't / Birthday Party -- The DJ Is Crying for Help -- God Is Really Real -- The Good Part -- Bang! -- Inertia (Extended outro) -- Touchy Feely Fool -- Karma -- Turning Out / Turning Out Pt. ii / Turning Out Pt. iii -- World's Smallest Violin -- Steve's Going to London -- Burn the House Down -- Way Less Sad -- Don't Throw Out My Legos -- 100 Bad Days -- Weak / 2085,"AJR (Adam Met, vocals, guitar; Jack Met, vocals, guitar, drums; Ryan Met, vocals, piano), Andrew Hoyt, vocals, guitar",Mitchell Schellenger,"Vick, McKenzie",Lauren considers this her first official concert. It was very high energy and large. There were multiple audience interactive elements and a lot of special effects were used.,McKenzie Vick (left) and Lauren Kuethe (right) on a bridge before the concert,"Wells Fargo Arena, Des Moines, Iowa",41.592807,-93.621065,image/jpeg,eng,2.3MB,32.22 x 42.89 in,"This material should be used for educational purposes only. For other uses, please contact Lauren Kuethe. Digital reproduction rights in reference to this project granted by McKenzie Vick."
